,НИЙТ,Өөрийн сэтгэл хөдлөлөө танин барих,Бусдын сэтгэл хөдлөлийг мэдэх,Сэтгэл хөдлөлөө илэрхийлэх,Сэтгэл хөдлөлийн учир шалтгааныг таних,Сэтгэлийн хөдөлгөөнөө удирдах,Бусдын сэтгэл хөдлөлийг удирдах,Сэтгэл хөдлөлөө хянах
31,37.94699776,39.57456651,37.00702093,37.79935415,37.09237347,35.94069331,37.79651783,37.19064165
32,38.07052765,39.69515044,37.12667006,37.95447697,37.20442794,36.03971529,37.94440175,37.37194736
33,38.18087449,39.86280315,37.29907236,38.06608094,37.33446152,36.16265184,38.08359014,37.50628391
34,38.30882457,39.95871069,37.42005015,38.17370123,37.44876999,36.31123325,38.20234952,37.61123268
35,38.4210177,40.0679821,37.54975922,38.32635964,37.55760439,36.4517469,38.32120407,37.71655282
36,38.5063612,40.17599124,37.64636638,38.43898463,37.66655042,36.61301571,38.42540135,37.87470668
37,38.59665472,40.29533504,37.76948594,38.55315588,37.77651952,36.73744749,38.55260202,38.03455366
38,38.69449079,40.42824697,37.84076012,38.67906703,37.90540281,36.847373,38.651596,38.16906832
39,38.80909912,40.55656851,37.98415094,38.83139219,38.02761362,36.98029767,38.77112851,38.30139397
40,38.90135235,40.67184716,38.11773763,38.96544303,38.15383898,37.14174211,38.90141142,38.44674695
41,39.01921168,40.78674436,38.24122914,39.08247922,38.27223209,37.27163448,39.01854118,38.56386359
42,39.1250262,40.88636051,38.36425627,39.19573201,38.38312465,37.40950804,39.14927874,38.68531031
43,39.21799453,40.99964746,38.47897926,39.33174485,38.47539961,37.5407445,39.30759621,38.79989412
44,39.31265138,41.1273979,38.57747927,39.43883805,38.57145219,37.63780646,39.43055073,38.91877388
45,39.38832928,41.21495873,38.71769452,39.55763981,38.69587746,37.77755231,39.582183,39.05878994
46,39.47198818,41.32909267,38.82889004,39.6757873,38.81630317,37.91689847,39.72399491,39.1930577
47,39.59430714,41.47231376,38.93769935,39.81206003,38.93955319,38.05215701,39.87568793,39.29532722
48,39.67869638,41.58005906,39.07075079,39.93172513,39.02272294,38.1649074,39.99543164,39.4041911
49,39.77154056,41.66520362,39.17125648,40.08110305,39.16498185,38.26825563,40.12077754,39.51522638
50,39.85414275,41.77310778,39.30359019,40.19416974,39.27644436,38.40660086,40.22607866,39.61104463
51,39.94648131,41.89419387,39.42568386,40.32534918,39.42081467,38.52723031,40.34340291,39.74531634
52,40.03156758,42.0206284,39.56740114,40.43597635,39.51776672,38.63070666,40.45891451,39.84104574
53,40.13757679,42.14362104,39.70168145,40.56924675,39.62994213,38.76752127,40.60621632,39.96806036
54,40.2668556,42.26257817,39.80910128,40.68321591,39.73508431,38.89476634,40.74466631,40.09335081
55,40.37027116,42.36892486,39.93505934,40.79001923,39.83156187,39.02879639,40.85640863,40.20521088
56,40.46178008,42.48932168,40.02858971,40.89485303,39.96107014,39.10504909,40.99558829,40.30513708
57,40.55456182,42.60730287,40.169233,40.98250618,40.06038369,39.20866064,41.16464777,40.43955111
58,40.6328531,42.71224542,40.31324578,41.07849259,40.19954966,39.33000665,41.28863437,40.55627065
59,40.74047501,42.85472516,40.43469862,41.19882067,40.29728802,39.456755,41.40173614,40.64287589
60,40.86884959,42.97336417,40.55654029,41.30757608,40.43280792,39.60538826,41.52958679,40.7409834
61,40.95727268,43.07135406,40.75055568,41.44458406,40.56867261,39.74697473,41.66430387,40.88180385
62,41.08138048,43.1891573,40.89957341,41.57911902,40.68996385,39.83777522,41.81812091,41.02241823
63,41.18647555,43.31622739,41.01248637,41.70939433,40.80929072,39.97920405,41.9675274,41.15873453
64,41.27929027,43.41107269,41.12902282,41.8480597,40.91126728,40.08503661,42.09585112,41.27776794
65,41.38091244,43.54681806,41.27273104,42.01286008,41.0438023,40.18738954,42.22613401,41.43319195
66,41.51320301,43.65620869,41.42560131,42.14893565,41.15323776,40.33989962,42.32429933,41.56687401
67,41.62908912,43.77651,41.57090034,42.27425425,41.31350212,40.47161642,42.46884578,41.66763206
68,41.73924439,43.94006748,41.69117022,42.41576284,41.43542733,40.60016797,42.63416408,41.8262043
69,41.82858582,44.06802283,41.81663171,42.55927837,41.59502106,40.70453696,42.76129008,41.91886652
70,41.96727452,44.18458758,41.95437563,42.67552529,41.71653953,40.80371145,42.85911025,42.02961865
71,42.11586315,44.33772473,42.08454739,42.81677429,41.82604623,40.91250276,42.99290172,42.16420629
72,42.25442195,44.48437795,42.24755584,42.95591188,41.92997048,41.01927721,43.11653939,42.30064816
73,42.35542085,44.64404251,42.40768273,43.09907792,42.05568807,41.14355056,43.2769449,42.47886201
74,42.4930965,44.80203195,42.55453095,43.2676497,42.16989887,41.27487194,43.41825543,42.58913338
75,42.65475734,44.94187552,42.73403193,43.42493174,42.29115083,41.39000104,43.56532654,42.71352014
76,42.76318396,45.11470438,42.85998988,43.56308676,42.43603897,41.49120073,43.72469173,42.86686506
77,42.90680868,45.23463008,43.03996585,43.70058811,42.58525552,41.64091192,43.85384725,42.96945244
78,43.03972509,45.39207732,43.15618105,43.87715824,42.78590045,41.77798109,43.97970235,43.08994535
79,43.18049526,45.54605741,43.3454895,44.03543751,42.93473427,41.95720407,44.17103316,43.24391691
80,43.30521026,45.67863028,43.51286833,44.21400323,43.07865136,42.14669292,44.35350843,43.42292717
81,43.45124549,45.81388298,43.70195596,44.38395692,43.2658323,42.34576807,44.56419878,43.55412444
82,43.58331924,45.97768849,43.91604931,44.51473082,43.41747901,42.55747793,44.73147896,43.72874876
83,43.74257424,46.142494,44.08955339,44.67433958,43.56276109,42.76544637,44.93407966,43.91302338
84,43.88932488,46.34032169,44.30501618,44.89485191,43.7536566,42.99390613,45.16296853,44.07666705
85,44.06168856,46.57717338,44.5464197,45.09349807,43.93700205,43.19922682,45.35734705,44.27305283
86,44.23038587,46.81682662,44.78368784,45.32002518,44.12213427,43.4442982,45.55705117,44.5086571
87,44.34759162,47.0581766,44.99789476,45.54736621,44.31199529,43.65351498,45.74579294,44.72686399
88,44.50306567,47.25346077,45.20911888,45.87644487,44.5327775,43.92533745,46.05526276,44.94130438
89,44.68239196,47.47294948,45.4864808,46.09430993,44.76462304,44.2523255,46.28015371,45.1597199
90,44.87769933,47.74217241,45.71069977,46.30923938,45.02085893,44.5297828,46.51194741,45.3976631
91,45.1496922,48.01555772,46.04674207,46.57891291,45.28834783,44.89924925,46.81339154,45.69339119
92,45.45136146,48.27349185,46.36369699,46.90618,45.56660497,45.16841819,47.14155943,45.97300343
93,45.72543661,48.68040099,46.63041478,47.34040516,45.91598284,45.44331803,47.45027221,46.27297579
94,46.07186383,49.01242187,46.89684632,47.80293896,46.16494106,45.79464363,47.84896611,46.71453131
95,46.46151198,49.41010846,47.33078403,48.37332941,46.4607649,46.24512298,48.20874254,47.17133613
96,46.87918236,49.9660208,47.76362634,48.81237057,47.03219958,46.71327614,48.8191749,47.69143763
97,47.2661962,50.65860723,48.28771347,49.36613895,47.57567403,47.37166836,49.40285609,48.26902999
98,47.87536096,51.33310959,48.93408626,50.14130916,48.43027641,48.10477341,50.46605139,49.09573571
99,49.04389674,52.6239118,50.49741195,51.54733181,49.67765422,49.3177085,51.70081106,50.76324403
100,55.13486164,59.16381174,59.70691593,57.77772462,55.5735709,56.25404562,57.7231741,56.67049992
